,Angle,Intensity,class,pos,sample,search
99,59.813430000000004,0.00124,Ag2Se,9450,4,min
100,67.17343000000001,202.37637,Ag2Se,10922,4,max
101,69.56843,0.0063100000000000005,Ag2Se,11401,4,min
102,71.85843,138.07571000000002,Ag2Se,11859,4,max
103,74.01343,0.00662,Ag2Se,12290,4,min
104,76.41343,164.66408,Ag2Se,12770,4,max
105,82.89843,0.0007599999999999999,Ag2Se,14067,4,min
106,89.69343,146.02039,Ag2Se,15426,4,max
107,95.94343,0.00091,Ag2Se,16676,4,min
108,102.95343000000001,117.65154,Ag2Se,18078,4,max
109,105.40343,0.00797,Ag2Se,18568,4,min
110,107.49843,57.67203000000001,Ag2Se,18987,4,max
111,109.68843000000001,0.006840000000000001,Ag2Se,19425,4,min
112,112.15843000000001,67.97565,Ag2Se,19919,4,max
113,119.26843000000001,0.00059,Ag2Se,21341,4,min
114,127.35343,37.02539,Ag2Se,22958,4,max
115,137.13843,0.0013599999999999999,Ag2Se,24915,4,min
116,146.74843,33.0558,Ag2Se,26837,4,max
117,156.71843,0.00042,Ag2Se,28831,4,min
118,12.44471,0.00033,Ag2Se,0,5,min
119,22.43971,1000.0,Ag2Se,1999,5,max
120,27.374709999999997,0.00248,Ag2Se,2986,5,min
121,31.944709999999997,568.71208,Ag2Se,3900,5,max
122,41.53471,0.00025,Ag2Se,5818,5,min
123,45.80471,57.41652,Ag2Se,6672,5,max
124,47.92471,0.00186,Ag2Se,7096,5,min
125,51.57971,236.37788999999998,Ag2Se,7827,5,max
126,60.474709999999995,0.00045999999999999996,Ag2Se,9606,5,min
127,66.77971,206.1993,Ag2Se,10867,5,max
128,69.16471,0.006490000000000001,Ag2Se,11344,5,min
129,71.42471,140.97288,Ag2Se,11796,5,max
130,73.48470999999999,0.007559999999999999,Ag2Se,12208,5,min
131,75.94471,209.05766,Ag2Se,12700,5,max
132,80.95971,0.00115,Ag2Se,13703,5,min
133,89.10471,145.49561,Ag2Se,15332,5,max
134,95.32970999999999,0.00093,Ag2Se,16577,5,min
135,102.20971,118.7814,Ag2Se,17953,5,max
136,104.62471,0.008190000000000001,Ag2Se,18436,5,min
137,106.68971,58.07733,Ag2Se,18849,5,max
138,108.76971,0.00782,Ag2Se,19265,5,min
139,111.27971000000001,87.27186,Ag2Se,19767,5,max
140,116.53971000000001,0.0007099999999999999,Ag2Se,20819,5,min
141,126.16471000000001,37.38626,Ag2Se,22744,5,max
142,135.77971000000002,0.00047000000000000004,Ag2Se,24667,5,min
143,144.80971,33.46414,Ag2Se,26473,5,max
144,154.76471,0.00037999999999999997,Ag2Se,28464,5,min
145,12.42206,0.00033,Ag2Se,0,6,min
146,22.41706,1000.0,Ag2Se,1999,6,max
147,27.287059999999997,0.00259,Ag2Se,2973,6,min
148,31.912059999999997,620.6117,Ag2Se,3898,6,max
149,40.52706,0.00033999999999999997,Ag2Se,5621,6,min
150,45.757059999999996,87.91811,Ag2Se,6667,6,max
151,48.032059999999994,0.00223,Ag2Se,7122,6,min
152,51.52706,235.41411000000002,Ag2Se,7821,6,max
153,60.41706,0.00047000000000000004,Ag2Se,9599,6,min
154,66.70706,204.22869,Ag2Se,10857,6,max
155,69.07206,0.00655,Ag2Se,11330,6,min
156,71.34206,139.91388,Ag2Se,11784,6,max
157,73.35206,0.007940000000000001,Ag2Se,12186,6,min
158,75.85706,230.74965,Ag2Se,12687,6,max
159,81.29205999999999,0.00149,Ag2Se,13774,6,min
160,84.65205999999999,31.683040000000002,Ag2Se,14446,6,max
161,86.22206,0.00489,Ag2Se,14760,6,min
162,88.99206,146.07849,Ag2Se,15314,6,max
163,95.21706,0.00093,Ag2Se,16559,6,min
164,102.06706,118.80966000000001,Ag2Se,17929,6,max
165,104.49706,0.00824,Ag2Se,18415,6,min
166,106.53706000000001,58.34691,Ag2Se,18823,6,max
167,108.56706000000001,0.00821,Ag2Se,19229,6,min
168,111.11206000000001,95.59875,Ag2Se,19738,6,max
169,116.76206,0.00116,Ag2Se,20868,6,min
170,125.94206000000001,37.36139,Ag2Se,22704,6,max
171,135.52206,0.00047000000000000004,Ag2Se,24620,6,min
172,144.44706000000002,33.50128,Ag2Se,26405,6,max
173,154.43206,0.00037,Ag2Se,28402,6,min
174,12.37684,0.00033,Ag2Se,0,7,min
175,22.37184,1000.0,Ag2Se,1999,7,max
176,27.43184,0.0021899999999999997,Ag2Se,3011,7,min
177,31.846840000000004,426.18887,Ag2Se,3894,7,max
178,36.27684,0.0008900000000000001,Ag2Se,4780,7,min
179,39.26684,34.82885,Ag2Se,5378,7,max
180,42.24684,0.0,Ag2Se,5974,7,min
181,51.41684,236.35217000000003,Ag2Se,7808,7,max
182,54.51684,0.00264,Ag2Se,8428,7,min
183,56.74184,74.22765,Ag2Se,8873,7,max
184,59.55684,0.0016,Ag2Se,9436,7,min
185,66.55684000000001,205.03358,Ag2Se,10836,7,max
186,68.94684000000001,0.0064,Ag2Se,11314,7,min
187,71.18184000000001,139.6201,Ag2Se,11761,7,max
188,73.32684,0.00658,Ag2Se,12190,7,min
189,75.68184000000001,158.27109,Ag2Se,12661,7,max
190,82.19184,0.00075,Ag2Se,13963,7,min
191,88.76684,147.60673,Ag2Se,15278,7,max
192,94.98684,0.00093,Ag2Se,16522,7,min
193,101.78684,119.35871999999999,Ag2Se,17882,7,max
194,104.17684,0.008140000000000001,Ag2Se,18360,7,min
195,106.23183999999999,58.4828,Ag2Se,18771,7,max
196,108.40183999999999,0.00683,Ag2Se,19205,7,min
