,Ag2Se,AgSe,Cu2Se,CuSe,Si,Ti,TiN
TiN.9,0.3391230136055382,0.27092656839079854,0.425705469753185,0.33823955505958786,0.4884189346122476,0.3630648650212292,0.1097248961973412
TiN.10,0.2587174004144137,0.21780996831879507,0.4071853144987044,0.20429132570495348,0.3659282600152074,0.2212331131705553,0.13125410883888886
TiN.11,0.22426626123385168,0.19137361783485757,0.2929315888755109,0.196210997388771,0.344712681738351,0.2296676769420336,0.1250501270421109
TiN.12,0.244726746319565,0.22564080236593875,0.4310649717766063,0.2419377905623367,0.3567276065518486,0.2022311515596107,0.12654008057935773
TiN.13,0.24205338064723872,0.222294744982306,0.4332285935709493,0.24454006690872424,0.36330425306586106,0.20483829837167158,0.12603398750610048
Ti,0.27366830016667776,0.19393867550470392,0.2145479016342753,0.19311384202004575,0.41146948414613127,0.0944449120033914,0.15658028271798172
Ti.1,0.2692499931012635,0.19135616083539758,0.22514857406609323,0.19429706990877885,0.4064087494000324,0.09550886689233687,0.1568377587064145
Ti.2,0.23821738755663746,0.1903566413504364,0.24998986533110348,0.1992299066701018,0.3441493199882554,0.1407148641991315,0.1720152119860102
Ti.3,0.4135264219492184,0.25905135935197154,0.31086629548320455,0.22379706259669016,0.5234173306180919,0.10190462294373723,0.3750862129163833
Ti.4,0.3986601922659676,0.26608714029055835,0.2574923344433276,0.21888763607537953,0.5163698415346597,0.10008324264270267,0.44775694315562403
Ti.5,0.2500762682889338,0.20976365666798327,0.23626753992947913,0.20567866278558986,0.4186119645412726,0.10945181483406954,0.1542421102681119
Ti.6,0.3889369258291437,0.24050198584116217,0.2089880127918877,0.19946379258180966,0.5186890747753855,0.1069461910140063,0.3713206408440238
Ti.7,0.38717282077387133,0.24209833627556054,0.19398651418695934,0.19563958959330752,0.5431082528883324,0.11217783298814579,0.44011129811669614
Ti.8,0.3556537185982495,0.25327179460248084,0.25672738499910924,0.2306014554052933,0.41203962324835497,0.12646297444901927,0.22053852755022355
Ti.9,0.3808613906727286,0.24554354468421333,0.2807891857501762,0.22189616279955585,0.4408919836330166,0.12082318796558142,0.2543185552511328
