,Angle,Intensity,class,pos,sample,search
0,20.84,23.0,CuSe,42,1,min
1,27.02,3157.0,CuSe,351,1,max
2,37.88,36.0,CuSe,894,1,min
3,45.36,2240.0,CuSe,1268,1,max
4,52.04,53.0,CuSe,1602,1,min
5,53.36,463.0,CuSe,1668,1,max
6,59.08,26.0,CuSe,1954,1,min
7,21.38,66.0,CuSe,69,2,min
8,27.28,373.0,CuSe,364,2,max
9,40.48,97.0,CuSe,1024,2,min
10,50.06,248.0,CuSe,1503,2,max
11,58.66,77.0,CuSe,1933,2,min
12,20.04,6.0,CuSe,2,3,min
13,20.24,16.0,CuSe,12,3,max
14,20.66,7.0,CuSe,33,3,min
15,20.76,14.0,CuSe,38,3,max
16,20.92,7.0,CuSe,46,3,min
17,21.26,14.0,CuSe,63,3,max
18,21.42,7.0,CuSe,71,3,min
19,22.26,18.0,CuSe,113,3,max
20,22.5,8.0,CuSe,125,3,min
21,23.18,21.0,CuSe,159,3,max
22,23.82,8.0,CuSe,191,3,min
23,24.48,24.0,CuSe,224,3,max
24,24.9,10.0,CuSe,245,3,min
25,25.62,27.0,CuSe,281,3,max
26,26.2,13.0,CuSe,310,3,min
27,27.5,45.0,CuSe,375,3,max
28,28.6,15.0,CuSe,430,3,min
29,29.5,36.0,CuSe,475,3,max
30,30.52,17.0,CuSe,526,3,min
31,31.22,33.0,CuSe,561,3,max
32,31.52,13.0,CuSe,576,3,min
33,31.76,32.0,CuSe,588,3,max
34,33.12,13.0,CuSe,656,3,min
35,33.4,28.0,CuSe,670,3,max
36,34.02,8.0,CuSe,701,3,min
37,34.24,26.0,CuSe,712,3,max
38,34.56,16.0,CuSe,728,3,min
39,34.78,29.0,CuSe,739,3,max
40,35.26,25.0,CuSe,763,3,max
41,35.74,11.0,CuSe,787,3,min
42,35.96,20.0,CuSe,798,3,max
43,36.26,10.0,CuSe,813,3,min
44,36.62,16.0,CuSe,831,3,max
45,36.7,7.0,CuSe,835,3,min
46,37.18,18.0,CuSe,859,3,max
47,37.5,4.0,CuSe,875,3,min
48,37.66,24.0,CuSe,883,3,max
49,38.26,7.0,CuSe,913,3,min
50,38.44,17.0,CuSe,922,3,max
51,38.78,8.0,CuSe,939,3,min
52,38.92,17.0,CuSe,946,3,max
53,39.24,5.0,CuSe,962,3,min
54,39.36,17.0,CuSe,968,3,max
55,39.62,7.0,CuSe,981,3,min
56,39.78,13.0,CuSe,989,3,max
57,40.48,6.0,CuSe,1024,3,min
58,40.62,17.0,CuSe,1031,3,max
59,40.94,3.0,CuSe,1047,3,min
60,41.38,18.0,CuSe,1069,3,max
61,41.6,8.0,CuSe,1080,3,min
62,41.96,18.0,CuSe,1098,3,max
63,42.86,4.0,CuSe,1143,3,min
64,43.0,19.0,CuSe,1150,3,max
65,43.46,5.0,CuSe,1173,3,min
66,43.72,18.0,CuSe,1186,3,max
67,44.14,8.0,CuSe,1207,3,min
68,44.5,22.0,CuSe,1225,3,max
69,44.62,8.0,CuSe,1231,3,min
70,45.06,22.0,CuSe,1253,3,max
71,45.38,8.0,CuSe,1269,3,min
72,45.76,23.0,CuSe,1288,3,max
73,46.34,15.0,CuSe,1317,3,max
74,46.52,8.0,CuSe,1326,3,min
75,46.84,19.0,CuSe,1342,3,max
76,47.16,10.0,CuSe,1358,3,min
77,48.12,20.0,CuSe,1406,3,max
78,48.32,7.0,CuSe,1416,3,min
79,48.58,22.0,CuSe,1429,3,max
80,49.0,10.0,CuSe,1450,3,min
81,49.18,23.0,CuSe,1459,3,max
82,49.64,10.0,CuSe,1482,3,min
83,50.14,26.0,CuSe,1507,3,max
84,50.44,10.0,CuSe,1522,3,min
85,50.76,31.0,CuSe,1538,3,max
86,51.12,10.0,CuSe,1556,3,min
87,51.56,40.0,CuSe,1578,3,max
88,52.12,7.0,CuSe,1606,3,min
89,52.4,23.0,CuSe,1620,3,max
90,53.02,10.0,CuSe,1651,3,min
91,53.08,21.0,CuSe,1654,3,max
92,53.6,12.0,CuSe,1680,3,min
93,53.8,29.0,CuSe,1690,3,max
94,54.0,9.0,CuSe,1700,3,min
95,54.52,30.0,CuSe,1726,3,max
96,54.84,7.0,CuSe,1742,3,min
97,55.0,30.0,CuSe,1750,3,max
98,55.7,9.0,CuSe,1785,3,min
99,55.86,30.0,CuSe,1793,3,max
100,56.32,11.0,CuSe,1816,3,min
101,20.1,15.0,CuSe,5,4,min
102,27.06,2579.0,CuSe,353,4,max
103,40.1,37.0,CuSe,1005,4,min
104,45.34,1360.0,CuSe,1267,4,max
105,51.52,37.0,CuSe,1576,4,min
106,53.48,424.0,CuSe,1674,4,max
107,64.06,16.0,CuSe,2203,4,min
108,22.84,21.0,CuSe,142,5,min
109,27.04,2814.0,CuSe,352,5,max
110,39.6,37.0,CuSe,980,5,min
111,45.32,1957.0,CuSe,1266,5,max
112,51.44,48.0,CuSe,1572,5,min
113,53.38,405.0,CuSe,1669,5,max
114,63.78,16.0,CuSe,2189,5,min
115,73.04,114.0,CuSe,2652,5,max
116,21.0,25.0,CuSe,50,6,min
117,27.08,3352.0,CuSe,354,6,max
118,34.8,30.0,CuSe,740,6,min
119,45.3,1084.0,CuSe,1265,6,max
120,51.52,45.0,CuSe,1576,6,min
