,Ag2Se,AgSe,Cu2Se,CuSe,Si,Ti,TiN
Ag2Se.23,0.6570162507348263,0.47693570473244673,0.4752648676067227,0.5123326153847338,0.4719664454303074,0.4667781742716722,0.47168049410007384
Ag2Se.24,0.8609207111719729,0.7235932936687384,0.7702007014183908,0.8039887983312988,0.6846258929578128,0.6559134120013982,0.6710093150617918
AgSe,0.5337926381983712,0.35344287102645805,0.33382068363363576,0.3731001082237473,0.35502879711931506,0.3596495626571916,0.3683171299387774
AgSe.1,0.5589478206163164,0.36824101350571553,0.3436244660314538,0.38410906538477924,0.3752262824133867,0.3631540215435255,0.3807448565115151
AgSe.2,0.6000342727207446,0.4242824687679414,0.41092006644395795,0.4511084915319222,0.4253934828343537,0.4227330477345183,0.4291315422158575
AgSe.3,0.5546344734681012,0.36426885727822855,0.3540768965041998,0.3904883450621131,0.36705331387343176,0.36498829550123413,0.38131696423835165
AgSe.4,0.5330765030020934,0.35205887269878827,0.3504929437990136,0.38196541338419693,0.3512849744009636,0.35329630815978363,0.3638468469318575
AgSe.5,0.5510669845108075,0.29850668076936204,0.23830903345339732,0.29444799651835296,0.3298917428262407,0.27278906869636016,0.3511310467087466
AgSe.6,0.5631865719926892,0.37183883283584657,0.353912473645668,0.38942219431773,0.378571840848317,0.3710991676376927,0.39092853323792226
AgSe.7,0.6533561659476445,0.44166222493445173,0.40422717068762026,0.4496788946809959,0.4581861597947368,0.4255133255567534,0.46128047993553506
Cu2Se,0.6034940701541622,0.3947638208047237,0.34424624669112147,0.40024986607359025,0.40846745402270634,0.35757810762007763,0.391081982478664
Cu2Se.1,0.5419942036873706,0.2890137359174484,0.21808004390440655,0.26998796503839667,0.3231840368267415,0.270550058119351,0.35852722056281777
Cu2Se.2,0.587121477437166,0.36675868605190065,0.339334835716116,0.38158460429629876,0.38709679642383193,0.33241190039616797,0.38448689527010993
Cu2Se.3,0.5966536289493676,0.34415562432540053,0.2716024730056271,0.312385627369191,0.3603863305896604,0.3387319016472222,0.4354635233668879
CuSe,0.6088040402153813,0.3738529693418794,0.3343258297638322,0.38258786931688515,0.39056084169872546,0.3627057168182408,0.40927329092187786
CuSe.1,0.6199541041116841,0.36924676052671446,0.3076364088194363,0.3627873253224552,0.39646203035938216,0.34829893227575515,0.4064528076620893
CuSe.2,0.6298608262692162,0.3986582940584493,0.3619328887057524,0.4102208764492479,0.41516910112102295,0.3920056512619425,0.4355927677653629
CuSe.3,0.6528810452517352,0.43811176458391166,0.3562212900595103,0.440993883081718,0.4508589162952423,0.41986753070367777,0.44947188685629336
CuSe.4,0.6058999285652472,0.3775626115207369,0.342629380042713,0.3910177890135773,0.3926135069668723,0.3693585676441618,0.4115656057721962
CuSe.5,0.6081674325984217,0.37830798179618663,0.34356629677497097,0.3911929115241195,0.39413274851914387,0.36926499561817955,0.4130144321177576
Si,0.574288623066527,0.42102718582616344,0.40874748724667753,0.45234618423822065,0.4143883975201025,0.40527945252915154,0.4013468854963062
Si.1,0.504066273789664,0.3410984955122207,0.3325074698776987,0.3717397279729488,0.335518169637445,0.3436303713280576,0.3423361478485535
Si.2,0.57071929234212,0.4204415164462655,0.4121528113607227,0.4529585225488492,0.4127419557688837,0.4027260220099489,0.3985429745013794
Si.3,0.5245043015736064,0.36167313209429186,0.3440450710897436,0.3867004945270518,0.3592144073598057,0.3608003798951984,0.3612035635253968
Si.4,0.5284690510421186,0.35464263530057266,0.3347074955465755,0.376493645966342,0.3556809542403901,0.355237383682567,0.36306558047065246
Si.5,0.5018222792650647,0.33436334160631476,0.32708116778804364,0.369202599800935,0.32950540393480876,0.33508320877036457,0.33666985698753066
Si.6,0.5104362625804989,0.34335397689046343,0.32933472087449556,0.37197670468912536,0.33917396110836173,0.34797751348454786,0.34805032123900176
Si.7,0.5687385804535916,0.42186656858245825,0.41546640276722624,0.4584285202591574,0.4134154009861467,0.402249784730594,0.39655568545589065
Si.8,0.5676184942575141,0.42421852448745234,0.4276851970320317,0.45905852180365087,0.41624849864337377,0.3983859187502171,0.4006013092019831
Si.9,0.5676807128415018,0.4242472132127364,0.42773185673704994,0.45909156293406367,0.41630199817894487,0.39839828646822933,0.4006497423963699
Si.10,0.5677001133381175,0.4242555802400362,0.4276850049371041,0.45906475023320975,0.41631594929037596,0.3984392038712991,0.4006750991740464
Si.11,0.5399202616443595,0.29074853576288945,0.24888427147752507,0.28917751360500843,0.31970970589908043,0.2621431522590306,0.33505712693345036
Si.12,0.5676213292218101,0.4242350089415341,0.4276848944859568,0.45909400074729256,0.41625966436556183,0.39836411779177405,0.4006086017636233
Si.13,0.5677001133381175,0.4242555802400362,0.4276850049371041,0.45906475023320975,0.41631594929037596,0.3984392038712991,0.4006750991740464
Si.14,0.5677001133381175,0.4242555802400362,0.4276850049371041,0.45906475023320975,0.41631594929037596,0.3984392038712991,0.4006750991740464
Si.15,0.50892970603663,0.2724150412255225,0.2453307835676155,0.2822351842721097,0.2930105107315454,0.24106815483632493,0.3018247239869448
Si.16,0.5430320014064847,0.3909142815210404,0.38914652884974743,0.4200364084413443,0.3861707809536768,0.3764665546388363,0.37921677090624367
Si.17,0.5677001133381175,0.4242555802400362,0.4276850049371041,0.45906475023320975,0.41631594929037596,0.3984392038712991,0.4006750991740464
Si.18,0.5429603234083458,0.390863729242813,0.3890820748077889,0.41997705621854314,0.38612958164666217,0.3764392420494786,0.3792006225570878
Si.19,0.7311626207648796,0.5129328312727001,0.46862593358905585,0.5240377948494958,0.5287625565601364,0.5104327206262409,0.5471147509887524
Si.20,0.5428613322189441,0.3907748397651971,0.38897348878233895,0.4199002101163889,0.38602535481357086,0.3763435638836604,0.3790739665563024
Si.21,0.5139108659966197,0.3163666757530993,0.2985095806683609,0.3337400896232026,0.3208771640784812,0.2973756004570788,0.32063017331548366
Si.22,0.5088766428522028,0.27240561189724233,0.24534684241301682,0.2822487896053581,0.2929741792863315,0.24106155236461274,0.3017675294138968
Si.23,0.5676056481243995,0.42417434574245866,0.4276316896075326,0.4590208215565043,0.4162295821804042,0.398327239496099,0.4005737859678407
Si.24,0.5086440968597987,0.2722035445524982,0.2451755733257563,0.2820980826265221,0.2927691422034009,0.2409050834473334,0.30154935897997726
TiN,0.5680817576226229,0.41588610950895416,0.41168671508198096,0.4482901612910888,0.39701449351624357,0.3832506581765508,0.3961633898773936
