2q (degree),Normalized Intensity (a.u)
14.2804,0.12407
14.2854,0.11132
14.2904,0.12289
14.2954,0.12381
14.3004,0.10204
14.3054,0.11875
14.3104,0.11802
14.3154,0.11974
14.3204,0.12403
14.3254,0.11153
14.3304,0.10829
14.3354,0.10931
14.3404,0.11201
14.3454,0.12156
14.3504,0.12379
14.3554,0.12088
14.3604,0.11641
14.3654,0.12005
14.3704,0.11831
14.3754,0.12157
14.3804,0.11351
14.3854,0.1199
14.3904,0.1121
14.3954,0.1204
14.4004,0.10829
14.4054,0.1104
14.4104,0.12401
14.4154,0.12328
14.4204,0.11614
14.4254,0.10645
14.4304,0.10912
14.4354,0.12327
14.4404,0.12016
14.4454,0.11394
14.4504,0.11791
14.4554,0.11509
14.4604,0.11035
14.4654,0.11797
14.4704,0.11623
14.4754,0.11696
14.4804,0.12013
14.4854,0.1123
14.4904,0.12224
14.4954,0.12885
14.5004,0.12322
14.5054,0.12691
14.5104,0.1108
14.5154,0.10472
14.5204,0.11508
14.5254,0.106
14.5304,0.10665
14.5354,0.11732
14.5404,0.1181
14.5454,0.11059
14.5504,0.12056
14.5554,0.11966
14.5604,0.10727
14.5654,0.12193
14.5704,0.1164
14.5754,0.11442
14.5804,0.11746
14.5854,0.11783
14.5904,0.12376
14.5954,0.1158
14.6004,0.11558
14.6054,0.1256
14.6104,0.11741
14.6154,0.11707
14.6204,0.12515
14.6254,0.11991
14.6304,0.12004
14.6354,0.12129
14.6404,0.11107
14.6454,0.11364
14.6504,0.10691
14.6554,0.10836
14.6604,0.1165
14.6654,0.1254
14.6704,0.12375
14.6754,0.12719
14.6804,0.10773
14.6854,0.10279
14.6904,0.11533
14.6954,0.13039
14.7004,0.11107
14.7054,0.11896
14.7104,0.11629
14.7154,0.11219
14.7204,0.11462
14.7254,0.1083
14.7304,0.11781
14.7354,0.11357
14.7404,0.12041
14.7454,0.1194
14.7504,0.10723
14.7554,0.10845
14.7604,0.11358
14.7654,0.1189
14.7704,0.11448
14.7754,0.10719
14.7804,0.09523
14.7854,0.11341
14.7904,0.12094
