2q (degree),Normalized Intensity (a.u)
14.2854,0.01426
14.2904,0.01561
14.2954,0.01673
14.3004,0.0178
14.3054,0.01363
14.3104,0.01094
14.3154,0.01059
14.3204,0.01215
14.3254,0.01594
14.3304,0.014
14.3354,0.01124
14.3404,0.00832
14.3454,0.00591
14.3504,0.01178
14.3554,0.01409
14.3604,0.0121
14.3654,0.00853
14.3704,0.00736
14.3754,0.00539
14.3804,0.00721
14.3854,0.01056
14.3904,0.01153
14.3954,0.00978
14.4004,0.01068
14.4054,0.00821
14.4104,0.00735
14.4154,0.00869
14.4204,0.01308
14.4254,0.01245
14.4304,0.01078
14.4354,0.01049
14.4404,0.01108
14.4454,0.01377
14.4504,0.01674
14.4554,0.02121
14.4604,0.01886
14.4654,0.0149
14.4704,0.0147
14.4754,0.01699
14.4804,0.01667
14.4854,0.01659
14.4904,0.01434
14.4954,0.01342
14.5004,0.01173
14.5054,0.011
14.5104,0.01295
14.5154,0.01206
14.5204,0.00977
14.5254,0.0084
14.5304,0.00519
14.5354,0.00533
14.5404,0.00607
14.5454,0.00562
14.5504,0.00812
14.5554,0.00893
14.5604,0.01048
14.5654,0.01116
14.5704,0.01298
14.5754,0.01327
14.5804,0.0101
14.5854,0.00977
14.5904,0.01266
14.5954,0.01374
14.6004,0.01208
14.6054,0.01058
14.6104,0.00995
14.6154,0.01148
14.6204,0.01313
14.6254,0.01876
14.6304,0.02009
14.6354,0.01693
14.6404,0.01451
14.6454,0.01295
14.6504,0.01071
14.6554,0.01035
14.6604,0.0075
14.6654,0.00568
14.6704,0.00382
14.6754,0.00281
14.6804,0.00157
14.6854,0.00369
14.6904,0.00427
14.6954,0.009
14.7004,0.01017
14.7054,0.00862
14.7104,0.00822
14.7154,0.00641
14.7204,0.00615
14.7254,0.00784
14.7304,0.00888
14.7354,0.00892
14.7404,0.00597
14.7454,0.00502
14.7504,0.01024
14.7554,0.01238
14.7604,0.01066
14.7654,0.01084
14.7704,0.0117
14.7754,0.01015
14.7804,0.00934
14.7854,0.01098
14.7904,0.01338
14.7954,0.01179
14.8004,0.01377
14.8054,0.01742
14.8104,0.01509
14.8154,0.01379
14.8204,0.01427
14.8254,0.01482
14.8304,0.01313
14.8354,0.01086
14.8404,0.01103
14.8454,0.01
14.8504,0.00986
14.8554,0.01522
14.8604,0.01751
14.8654,0.0167
14.8704,0.01692
14.8754,0.01892
14.8804,0.01724
14.8854,0.01561
14.8904,0.01545
14.8954,0.01567
14.9004,0.01538
14.9054,0.0133
14.9104,0.01327
14.9154,0.01578
14.9204,0.01647
14.9254,0.02049
14.9304,0.02143
14.9354,0.02042
14.9404,0.01939
14.9454,0.01973
14.9504,0.02058
14.9554,0.02053
14.9604,0.01577
14.9654,0.01282
14.9704,0.00919
14.9754,0.00709
14.9804,0.004
14.9854,0.00423
14.9904,5.60E-04
14.9954,0
15.0004,0.00203
15.0054,0.00379
15.0104,0.00415
15.0154,0.00591
15.0204,0.00652
15.0254,0.00889
15.0304,0.00714
15.0354,0.00664
15.0404,0.00644
15.0454,0.0052
15.0504,0.00636
15.0554,0.00845
15.0604,0.00632
15.0654,0.00595
15.0704,0.00772
15.0754,0.00947
15.0804,0.01108
15.0854,0.01296
15.0904,0.01182
15.0954,0.01047
15.1004,0.00969
15.1054,0.01139
15.1104,0.00995
15.1154,0.00996
15.1204,0.01025
15.1254,0.01055
15.1304,0.01109
15.1354,0.01224
15.1404,0.01153
15.1454,0.00985
15.1504,0.00766
15.1554,0.01001
15.1604,0.0075
15.1654,0.00466
15.1704,0.00451
15.1754,0.00288
15.1804,0
15.1854,0.00288
15.1904,0.00388
15.1954,0.00535
15.2004,0.00652
15.2054,0.00809
15.2104,0.0082
15.2154,0.00743
15.2204,0.00772
15.2254,0.00862
15.2304,0.00726
15.2354,0.00948
15.2404,0.01006
15.2454,0.00888
15.2504,0.00939
15.2554,0.01161
15.2604,0.01127
15.2654,0.01043
15.2704,0.01295
15.2754,0.01509
15.2804,0.01408
15.2854,0.01439
15.2904,0.01467
15.2954,0.01314
15.3004,0.01178
15.3054,0.01131
15.3104,0.01066
15.3154,0.00901
15.3204,0.00587
15.3254,0.00412
15.3304,0.00358
15.3354,0.00303
15.3404,0.00525
15.3454,0.00976
15.3504,0.01312
15.3554,0.01593
15.3604,0.01484
15.3654,0.01661
15.3704,0.01758
15.3754,0.01733
15.3804,0.01734
15.3854,0.01738
15.3904,0.0138
15.3954,0.01233
15.4004,0.01077
15.4054,0.00957
15.4104,0.00725
15.4154,0.00888
15.4204,0.0071
15.4254,0.00679
15.4304,0.0065
15.4354,0.00643
15.4404,0.00634
15.4454,0.00548
15.4504,0.00754
15.4554,0.00835
15.4604,0.00572
15.4654,0.00716
15.4704,0.0077
15.4754,0.00701
15.4804,0.00706
15.4854,0.00668
15.4904,0.00874
15.4954,0.00984
15.5004,0.01081
15.5054,0.00971
15.5104,0.00973
15.5154,0.01068
15.5204,0.01153
15.5254,0.00883
15.5304,0.00863
15.5354,0.00726
15.5404,0.006
15.5454,0.00536
15.5504,0.00729
15.5554,0.00837
15.5604,0.00574
15.5654,0.00256
15.5704,0.0066
15.5754,0.00849
15.5804,0.00597
15.5854,0.00635
15.5904,0.00819
15.5954,0.00842
15.6004,0.00692
15.6054,0.00836
15.6104,0.009
15.6154,0.00855
15.6204,0.00554
15.6254,0.00762
15.6304,0.00802
15.6354,0.00641
15.6404,0.00693
15.6454,0.00771
15.6504,0.00789
15.6554,0.0122
15.6604,0.01005
15.6654,0.01046
15.6704,0.01065
15.6754,0.01023
15.6804,0.01001
15.6854,0.00789
15.6904,0.00854
15.6954,0.00936
15.7004,0.00658
15.7054,0.00771
15.7104,0.00643
15.7154,0.00486
15.7204,0.00396
15.7254,0.00428
15.7304,0.00715
15.7354,0.0074
15.7404,0.00738
15.7454,0.00617
15.7504,0.00735
15.7554,0.00913
15.7604,0.00915
15.7654,0.0095
15.7704,0.01101
15.7754,0.01087
15.7804,0.00933
