XRD - Patata-20,
5.01,5911
5.03,5872
5.05,5869
5.07,5780
5.09,5640
5.11,5684
5.13,5625
5.15,5424
5.17,5430
5.19,5259
5.21,5136
5.23,5094
5.25,4966
5.27,4643
5.29,4650
5.31,4505
5.33,4348
5.35,4196
5.37,4149
5.39,4017
5.41,3978
5.43,3817
5.45,3721
5.47,3551
5.49,3564
5.51,3476
5.53,3314
5.55,3325
5.57,3155
5.59,3108
5.61,3105
5.63,3067
5.65,2933
5.67,2986
5.69,2851
5.71,2885
5.73,2865
5.75,2831
5.77,2754
5.79,2802
5.81,2688
5.83,2689
5.85,2738
5.87,2565
5.89,2588
5.91,2545
5.93,2513
5.95,2550
5.97,2575
5.99,2492
6.01,2492
6.03,2489
6.05,2527
6.07,2443
6.09,2404
6.11,2467
6.13,2398
6.15,2334
6.17,2376
6.19,2335
6.21,2279
6.23,2385
6.25,2396
6.27,2373
6.29,2369
6.31,2286
6.33,2300
6.35,2417
6.37,2289
6.39,2275
6.41,2314
6.43,2312
6.45,2342
6.47,2354
6.49,2228
6.51,2328
6.53,2273
6.55,2238
6.57,2271
6.59,2297
6.61,2322
6.63,2343
6.65,2165
6.67,2300
6.69,2293
6.71,2279
6.73,2361
6.75,2267
6.77,2219
6.79,2315
6.81,2220
6.83,2241
6.85,2226
6.87,2274
6.89,2290
6.91,2317
6.93,2298
6.95,2146
6.97,2335
6.99,2258
7.01,2253
7.03,2142
7.05,2185
7.07,2204
7.09,2272
7.11,2218
7.13,2232
7.15,2261
7.17,2262
7.19,2255
7.21,2266
7.23,2283
7.25,2252
7.27,2243
7.29,2241
7.31,2308
7.33,2293
7.35,2197
7.37,2200
7.39,2248
7.41,2209
7.43,2205
7.45,2251
7.47,2261
7.49,2156
7.51,2300
7.53,2154
7.55,2259
7.57,2256
7.59,2242
7.61,2267
7.63,2219
7.65,2266
7.67,2231
7.69,2278
7.71,2252
7.73,2291
7.75,2338
7.77,2196
7.79,2315
7.81,2253
7.83,2304
7.85,2258
7.87,2274
7.89,2263
7.91,2252
7.93,2263
7.95,2292
7.97,2335
7.99,2381
8.01,2349
8.03,2258
8.05,2261
8.07,2259
8.09,2344
8.11,2307
8.13,2335
8.15,2348
8.17,2350
8.19,2330
8.21,2337
8.23,2281
8.25,2297
8.27,2344
8.29,2305
8.31,2416
8.33,2445
8.35,2401
8.37,2426
8.39,2411
8.41,2369
8.43,2449
8.45,2432
8.47,2465
8.49,2415
8.51,2468
8.53,2454
8.55,2459
8.57,2512
8.59,2470
8.61,2436
8.63,2478
8.65,2501
8.67,2540
8.69,2602
8.71,2550
8.73,2565
8.75,2474
8.77,2599
8.79,2571
8.81,2657
8.83,2645
8.85,2628
8.87,2650
8.89,2685
8.91,2655
8.93,2699
8.95,2636
8.97,2822
8.99,2747
9.01,2704
9.03,2695
9.05,2853
9.07,2808
9.09,2786
9.11,2930
9.13,2758
9.15,2978
9.17,2920
9.19,2930
9.21,2885
9.23,3012
9.25,2944
9.27,3013
9.29,2963
9.31,2891
9.33,2966
9.35,2965
9.37,3024
9.39,3038
9.41,2977
9.43,3051
9.45,3042
9.47,2942
9.49,2956
9.51,3097
9.53,3004
9.55,3014
9.57,3101
9.59,3022
9.61,3023
9.63,2960
9.65,2996
9.67,2998
9.69,3050
9.71,3085
9.73,3008
9.75,3053
9.77,2995
9.79,2937
9.81,3026
9.83,3078
9.85,2970
9.87,3076
9.89,3049
9.91,2956
9.93,3011
9.95,2970
9.97,3058
9.99,2908
10.01,2940
10.03,2983
10.05,3028
10.07,2955
10.09,2963
10.11,2978
10.13,2991
10.15,2925
10.17,3036
10.19,2875
10.21,2904
10.23,2867
10.25,2964
10.27,2912
10.29,2871
10.31,3010
10.33,2931
10.35,2982
10.37,3013
10.39,3003
10.41,2976
10.43,2954
10.45,3090
10.47,3004
10.49,2981
10.51,2982
10.53,2960
10.55,3044
10.57,3000
10.59,3043
10.61,3000
10.63,3150
10.65,3062
10.67,3007
10.69,3136
10.71,3163
10.73,3069
10.75,3064
10.77,3033
10.79,3080
10.81,3047
10.83,3168
10.85,3156
10.87,3184
10.89,3083
10.91,3157
10.93,3155
10.95,3025
10.97,3074
10.99,3108
11.01,3155
11.03,2963
11.05,3150
11.07,3122
11.09,3127
11.11,3030
11.13,3087
11.15,3133
11.17,2989
11.19,3114
11.21,3049
11.23,2959
11.25,2929
11.27,2949
11.29,3021
11.31,3032
11.33,2941
11.35,2960
11.37,2891
11.39,2916
11.41,2924
11.43,2954
11.45,2903
11.47,2846
11.49,2933
11.51,2910
11.53,3003
11.55,3010
11.57,2929
11.59,2878
11.61,2866
11.63,2771
11.65,2994
11.67,2983
11.69,3038
11.71,2898
11.73,2831
11.75,2880
11.77,2924
11.79,2950
11.81,2911
11.83,2881
11.85,2852
11.87,2857
11.89,2955
11.91,2887
11.93,2885
11.95,2903
11.97,2897
11.99,2963
12.01,2975
12.03,3022
12.05,2904
12.07,3065
12.09,2877
12.11,3031
12.13,3026
12.15,3074
12.17,3018
12.19,2888
12.21,3019
12.23,3060
12.25,3001
12.27,3030
12.29,3073
12.31,3037
12.33,2989
12.35,3083
12.37,3118
12.39,3083
12.41,3181
12.43,3157
12.45,3175
12.47,3217
12.49,3196
12.51,3262
12.53,3197
12.55,3184
12.57,3114
12.59,3212
12.61,3253
12.63,3330
12.65,3278
12.67,3334
12.69,3235
12.71,3343
12.73,3451
12.75,3353
12.77,3447
12.79,3439
12.81,3445
12.83,3558
12.85,3536
12.87,3618
12.89,3414
12.91,3540
12.93,3631
12.95,3703
12.97,3666
12.99,3630
13.01,3649
13.03,3727
13.05,3800
13.07,3704
13.09,3904
13.11,3886
13.13,3859
13.15,3865
13.17,4011
13.19,3953
13.21,4022
13.23,4024
13.25,4197
13.27,4231
13.29,4142
13.31,4155
13.33,4210
13.35,4300
13.37,4279
13.39,4452
13.41,4357
13.43,4392
13.45,4470
13.47,4383
13.49,4383
13.51,4518
13.53,4533
13.55,4517
13.57,4570
13.59,4589
13.61,4630
13.63,4656
13.65,4709
13.67,4551
13.69,4654
13.71,4725
13.73,4775
13.75,4700
13.77,4806
13.79,4748
13.81,4713
13.83,4812
13.85,4810
13.87,4728
13.89,4806
13.91,4871
13.93,4820
13.95,4672
13.97,4890
13.99,4750
14.01,4752
14.03,4785
14.05,4737
14.07,4744
14.09,4763
14.11,4685
14.13,4773
14.15,4863
14.17,4853
14.19,4756
14.21,4881
14.23,4790
14.25,4869
14.27,4874
14.29,4835
14.31,4888
14.33,4867
14.35,4927
14.37,4786
14.39,4893
14.41,4850
14.43,4788
14.45,4996
14.47,4982
14.49,5004
14.51,5053
14.53,5018
14.55,5019
14.57,4958
14.59,4948
14.61,5059
14.63,5014
14.65,5071
14.67,5094
14.69,4924
14.71,4953
14.73,5082
14.75,4914
14.77,5005
14.79,5018
14.81,5006
14.83,4920
14.85,4843
14.87,4815
14.89,4896
14.91,4776
14.93,4959
14.95,4848
14.97,4777
14.99,4772
15.01,4874
15.03,4841
15.05,4745
15.07,4671
15.09,4694
15.11,4664
15.13,4617
15.15,4632
15.17,4623
15.19,4550
15.21,4774
15.23,4658
15.25,4481
15.27,4745
15.29,4598
15.31,4662
15.33,4580
15.35,4644
15.37,4670
15.39,4636
15.41,4604
15.43,4624
15.45,4718
15.47,4636
15.49,4732
15.51,4577
15.53,4806
15.55,4795
15.57,4778
15.59,4836
15.61,4971
15.63,4925
15.65,4807
15.67,4989
15.69,5071
15.71,4970
15.73,5052
15.75,5142
15.77,5134
15.79,5208
15.81,5207
15.83,5404
15.85,5142
15.87,5315
15.89,5424
15.91,5599
15.93,5650
15.95,5624
15.97,5705
15.99,5652
16.01,5760
16.03,5829
16.05,6035
16.07,5959
16.09,6185
16.11,6209
16.13,6405
16.15,6372
16.17,6335
16.19,6423
16.21,6519
16.23,6728
16.25,6705
16.27,6642
16.29,6692
16.31,6941
16.33,6944
16.35,6916
16.37,6951
16.39,7086
16.41,7178
16.43,7285
16.45,7383
16.47,7516
16.49,7670
16.51,7527
16.53,7626
16.55,7493
16.57,7741
16.59,7816
16.61,7868
16.63,7752
16.65,7815
16.67,7821
16.69,7741
16.71,7796
16.73,7709
16.75,7684
16.77,7732
16.79,7558
16.81,7586
16.83,7596
16.85,7688
16.87,7471
16.89,7427
16.91,7330
16.93,7209
16.95,7101
16.97,7120
16.99,7092
17.01,6884
17.03,6850
17.05,6718
17.07,6668
17.09,6473
17.11,6407
17.13,6376
17.15,6128
17.17,6209
17.19,6105
17.21,6059
17.23,5879
17.25,5671
17.27,5547
17.29,5480
17.31,5400
17.33,5327
17.35,5365
17.37,5344
17.39,5149
17.41,5092
17.43,4982
17.45,5075
17.47,5058
17.49,4863
17.51,4789
17.53,4770
17.55,4853
17.57,4668
17.59,4644
17.61,4698
17.63,4569
17.65,4524
17.67,4566
17.69,4414
17.71,4479
17.73,4438
17.75,4371
17.77,4498
17.79,4372
17.81,4375
17.83,4271
17.85,4412
17.87,4367
17.89,4254
17.91,4282
17.93,4238
17.95,4204
17.97,4345
17.99,4340
18.01,4339
18.03,4330
18.05,4285
18.07,4277
18.09,4161
18.11,4186
18.13,4232
18.15,4290
18.17,4212
18.19,4207
18.21,4178
18.23,4206
18.25,4099
18.27,4227
18.29,4210
18.31,4321
18.33,4307
18.35,4334
18.37,4266
18.39,4279
18.41,4400
18.43,4270
18.45,4307
18.47,4350
18.49,4378
18.51,4345
18.53,4297
18.55,4269
18.57,4223
18.59,4368
18.61,4375
18.63,4383
18.65,4382
18.67,4415
18.69,4292
18.71,4310
18.73,4447
18.75,4468
18.77,4401
18.79,4428
18.81,4451
18.83,4469
18.85,4414
18.87,4515
18.89,4446
18.91,4610
18.93,4523
18.95,4583
18.97,4519
18.99,4562
19.01,4537
19.03,4476
19.05,4574
19.07,4522
19.09,4536
19.11,4464
19.13,4489
19.15,4578
19.17,4592
19.19,4660
19.21,4541
19.23,4670
19.25,4483
19.27,4448
19.29,4585
19.31,4471
19.33,4495
19.35,4551
19.37,4499
19.39,4587
19.41,4586
19.43,4572
19.45,4427
19.47,4608
19.49,4400
19.51,4482
19.53,4426
19.55,4407
19.57,4535
19.59,4423
19.61,4415
19.63,4233
19.65,4464
19.67,4316
