XRD - Maiz-30,
5.01,56
5.03,45
5.05,44
5.07,45
5.09,46
5.11,40
5.13,45
5.15,43
5.17,49
5.19,53
5.21,38
5.23,52
5.25,58
5.27,46
5.29,73
5.31,40
5.33,53
5.35,45
5.37,56
5.39,45
5.41,50
5.43,47
5.45,53
5.47,49
5.49,52
5.51,58
5.53,38
5.55,44
5.57,42
5.59,46
5.61,51
5.63,57
5.65,32
5.67,45
5.69,50
5.71,56
5.73,40
5.75,46
5.77,54
5.79,48
5.81,54
5.83,55
5.85,52
5.87,40
5.89,58
5.91,52
5.93,47
5.95,54
5.97,54
5.99,44
6.01,47
6.03,53
6.05,48
6.07,50
6.09,58
6.11,45
6.13,62
6.15,36
6.17,59
6.19,34
6.21,49
6.23,43
6.25,47
6.27,62
6.29,50
6.31,41
6.33,57
6.35,54
6.37,54
6.39,50
6.41,53
6.43,45
6.45,51
6.47,42
6.49,52
6.51,51
6.53,53
6.55,59
6.57,55
6.59,52
6.61,44
6.63,71
6.65,56
6.67,43
6.69,45
6.71,48
6.73,53
6.75,63
6.77,53
6.79,41
6.81,52
6.83,57
6.85,55
6.87,51
6.89,53
6.91,51
6.93,61
6.95,45
6.97,52
6.99,52
7.01,56
7.03,40
7.05,58
7.07,36
7.09,60
7.11,61
7.13,58
7.15,56
7.17,65
7.19,61
7.21,66
7.23,64
7.25,49
7.27,48
7.29,51
7.31,61
7.33,62
7.35,53
7.37,67
7.39,60
7.41,56
7.43,57
7.45,57
7.47,72
7.49,62
7.51,60
7.53,64
7.55,52
7.57,53
7.59,52
7.61,71
7.63,58
7.65,54
7.67,69
7.69,39
7.71,60
7.73,60
7.75,68
7.77,54
7.79,60
7.81,72
7.83,87
7.85,59
7.87,61
7.89,51
7.91,72
7.93,57
7.95,67
7.97,81
7.99,65
8.01,64
8.03,61
8.05,57
8.07,65
8.09,80
8.11,55
8.13,64
8.15,51
8.17,57
8.19,78
8.21,61
8.23,63
8.25,64
8.27,65
8.29,61
8.31,59
8.33,59
8.35,72
8.37,58
8.39,80
8.41,82
8.43,80
8.45,69
8.47,54
8.49,74
8.51,63
8.53,62
8.55,74
8.57,66
8.59,80
8.61,67
8.63,73
8.65,85
8.67,71
8.69,65
8.71,75
8.73,83
8.75,75
8.77,57
8.79,77
8.81,64
8.83,74
8.85,62
8.87,90
8.89,71
8.91,73
8.93,79
8.95,75
8.97,77
8.99,77
9.01,81
9.03,82
9.05,70
9.07,82
9.09,78
9.11,84
9.13,69
9.15,94
9.17,82
9.19,79
9.21,65
9.23,91
9.25,83
9.27,86
9.29,94
9.31,80
9.33,76
9.35,79
9.37,79
9.39,76
9.41,84
9.43,81
9.45,72
9.47,65
9.49,73
9.51,66
9.53,88
9.55,79
9.57,86
9.59,77
9.61,70
9.63,73
9.65,95
9.67,87
9.69,95
9.71,87
9.73,100
9.75,94
9.77,90
9.79,93
9.81,92
9.83,90
9.85,79
9.87,83
9.89,88
9.91,89
9.93,89
9.95,102
9.97,85
9.99,88
10.01,92
10.03,92
10.05,87
10.07,82
10.09,93
10.11,74
10.13,82
10.15,84
10.17,95
10.19,72
10.21,96
10.23,86
10.25,92
10.27,85
10.29,87
10.31,89
10.33,98
10.35,96
10.37,93
10.39,77
10.41,81
10.43,79
10.45,87
10.47,82
10.49,78
10.51,81
10.53,86
10.55,79
10.57,81
10.59,62
10.61,88
10.63,84
10.65,82
10.67,97
10.69,102
10.71,101
10.73,78
10.75,85
10.77,71
10.79,87
10.81,82
10.83,84
10.85,91
10.87,100
10.89,98
10.91,98
10.93,94
10.95,103
10.97,81
10.99,92
11.01,96
11.03,86
11.05,104
11.07,99
11.09,110
11.11,86
11.13,85
11.15,96
11.17,102
11.19,111
11.21,92
11.23,81
11.25,93
11.27,98
11.29,102
11.31,102
11.33,98
11.35,78
11.37,101
11.39,82
11.41,106
11.43,91
11.45,90
11.47,92
11.49,85
11.51,97
11.53,92
11.55,103
11.57,97
11.59,91
11.61,107
11.63,92
11.65,91
11.67,91
11.69,85
11.71,99
11.73,65
11.75,91
11.77,101
11.79,93
11.81,98
11.83,88
11.85,89
11.87,91
11.89,83
11.91,84
11.93,85
11.95,74
11.97,72
11.99,90
12.01,104
12.03,97
12.05,102
12.07,92
12.09,89
12.11,82
12.13,79
12.15,97
12.17,108
12.19,92
12.21,90
12.23,109
12.25,101
12.27,100
12.29,88
12.31,112
12.33,92
12.35,100
12.37,98
12.39,108
12.41,94
12.43,75
12.45,105
12.47,96
12.49,94
12.51,113
12.53,87
12.55,102
12.57,99
12.59,88
12.61,116
12.63,111
12.65,85
12.67,83
12.69,101
12.71,101
12.73,107
12.75,87
12.77,94
12.79,112
12.81,99
12.83,103
12.85,81
12.87,93
12.89,99
12.91,94
12.93,94
12.95,85
12.97,97
12.99,95
13.01,101
13.03,108
13.05,108
13.07,117
13.09,77
13.11,88
13.13,92
13.15,104
13.17,122
13.19,110
13.21,103
13.23,98
13.25,111
13.27,82
13.29,110
13.31,110
13.33,97
13.35,93
13.37,92
13.39,94
13.41,99
13.43,97
13.45,98
13.47,99
13.49,102
13.51,67
13.53,110
13.55,108
13.57,112
13.59,91
13.61,118
13.63,117
13.65,96
13.67,101
13.69,108
13.71,103
13.73,121
13.75,110
13.77,95
13.79,117
13.81,98
13.83,116
13.85,114
