XRD - Maiz-20,
5.01,2141
5.03,2209
5.05,2105
5.07,2102
5.09,2176
5.11,2102
5.13,2296
5.15,2166
5.17,2156
5.19,2123
5.21,2152
5.23,2217
5.25,2069
5.27,2125
5.29,2150
5.31,2153
5.33,2101
5.35,2171
5.37,2160
5.39,2155
5.41,2115
5.43,2034
5.45,2085
5.47,2157
5.49,2135
5.51,2133
5.53,2113
5.55,2091
5.57,2064
5.59,2071
5.61,2080
5.63,2181
5.65,2057
5.67,2123
5.69,2062
5.71,2168
5.73,2187
5.75,2037
5.77,2186
5.79,2067
5.81,2048
5.83,2051
5.85,2135
5.87,2031
5.89,2110
5.91,2122
5.93,2126
5.95,2066
5.97,2047
5.99,2009
6.01,2061
6.03,2113
6.05,2028
6.07,2027
6.09,2033
6.11,2077
6.13,2062
6.15,2027
6.17,2118
6.19,2003
6.21,2133
6.23,2068
6.25,2097
6.27,2158
6.29,2087
6.31,2081
6.33,2066
6.35,2139
6.37,2111
6.39,2074
6.41,2138
6.43,2095
6.45,2031
6.47,2070
6.49,2081
6.51,2148
6.53,2172
6.55,2104
6.57,2031
6.59,2120
6.61,2145
6.63,2146
6.65,2150
6.67,2119
6.69,2138
6.71,2139
6.73,2075
6.75,2128
6.77,2161
6.79,2205
6.81,2172
6.83,2178
6.85,2176
6.87,2186
6.89,2139
6.91,2146
6.93,2139
6.95,2190
6.97,2176
6.99,2142
7.01,2122
7.03,2194
7.05,2259
7.07,2239
7.09,2241
7.11,2235
7.13,2209
7.15,2203
7.17,2197
7.19,2128
7.21,2158
7.23,2186
7.25,2122
7.27,2239
7.29,2258
7.31,2168
7.33,2170
7.35,2213
7.37,2126
7.39,2192
7.41,2196
7.43,2212
7.45,2185
7.47,2270
7.49,2231
7.51,2194
7.53,2230
7.55,2294
7.57,2235
7.59,2131
7.61,2199
7.63,2161
7.65,2192
7.67,2280
7.69,2235
7.71,2198
7.73,2298
7.75,2306
7.77,2291
7.79,2290
7.81,2227
7.83,2337
7.85,2328
7.87,2171
7.89,2277
7.91,2352
7.93,2299
7.95,2300
7.97,2182
7.99,2244
8.01,2283
8.03,2408
8.05,2364
8.07,2339
8.09,2323
8.11,2263
8.13,2388
8.15,2332
8.17,2390
8.19,2434
8.21,2334
8.23,2395
8.25,2368
8.27,2395
8.29,2389
8.31,2417
8.33,2354
8.35,2457
8.37,2379
8.39,2425
8.41,2364
8.43,2353
8.45,2364
8.47,2482
8.49,2507
8.51,2527
8.53,2430
8.55,2488
8.57,2527
8.59,2338
8.61,2515
8.63,2416
8.65,2514
8.67,2483
8.69,2394
8.71,2544
8.73,2533
8.75,2485
8.77,2461
8.79,2601
8.81,2462
8.83,2469
8.85,2524
8.87,2515
8.89,2504
8.91,2552
8.93,2568
8.95,2593
8.97,2593
8.99,2585
9.01,2633
9.03,2573
9.05,2652
9.07,2633
9.09,2555
9.11,2657
9.13,2615
9.15,2661
9.17,2710
9.19,2653
9.21,2800
9.23,2697
9.25,2772
9.27,2604
9.29,2831
9.31,2708
9.33,2714
9.35,2774
9.37,2888
9.39,2822
9.41,2897
9.43,2730
9.45,2819
9.47,2833
9.49,2827
9.51,2813
9.53,2861
9.55,2842
9.57,2867
9.59,2793
9.61,2838
9.63,2839
9.65,2808
9.67,2776
9.69,2756
9.71,2833
9.73,2806
9.75,2782
9.77,2743
9.79,2735
9.81,2751
9.83,2827
9.85,2792
9.87,2722
9.89,2780
9.91,2773
9.93,2758
9.95,2813
9.97,2801
9.99,2746
10.01,2842
10.03,2768
10.05,2785
10.07,2877
10.09,2847
10.11,2871
10.13,2835
10.15,2785
10.17,2852
10.19,2862
10.21,2872
10.23,2893
10.25,3023
10.27,2970
10.29,2856
10.31,2915
10.33,2968
10.35,3002
10.37,2995
10.39,3063
10.41,3028
10.43,2942
10.45,3006
10.47,3040
10.49,3155
10.51,3092
10.53,3034
10.55,3161
10.57,3122
10.59,3136
10.61,3172
10.63,3156
10.65,3175
10.67,3233
10.69,3096
10.71,3193
10.73,3235
10.75,3181
10.77,3217
10.79,3092
10.81,3281
10.83,3220
10.85,3217
10.87,3197
10.89,3265
10.91,3120
10.93,3077
10.95,3274
10.97,3239
10.99,3219
11.01,3153
11.03,3107
11.05,3156
11.07,3165
11.09,3137
11.11,3151
11.13,3181
11.15,3088
11.17,3153
11.19,3050
11.21,3056
11.23,3245
11.25,3185
11.27,3115
11.29,3141
11.31,3058
11.33,3214
11.35,3178
11.37,3125
11.39,3160
11.41,3095
11.43,3095
11.45,3133
11.47,3150
11.49,3163
11.51,3070
11.53,3122
11.55,3111
11.57,3197
11.59,3155
11.61,3250
11.63,3122
11.65,3064
11.67,3109
11.69,3154
11.71,3230
11.73,3239
11.75,3190
11.77,3204
11.79,3109
11.81,3330
11.83,3274
11.85,3179
11.87,3361
11.89,3299
11.91,3302
11.93,3288
11.95,3247
11.97,3350
11.99,3195
12.01,3249
12.03,3329
12.05,3213
12.07,3339
12.09,3252
12.11,3202
12.13,3324
12.15,3291
12.17,3194
