XRD - Patata-0,
5.01,2770
5.03,2840
5.05,2896
5.07,2984
5.09,3092
5.11,2959
5.13,2970
5.15,3117
5.17,3208
5.19,3197
5.21,3295
5.23,3237
5.25,3219
5.27,3337
5.29,3345
5.31,3394
5.33,3335
5.35,3553
5.37,3603
5.39,3526
5.41,3575
5.43,3514
5.45,3701
5.47,3690
5.49,3687
5.51,3710
5.53,3752
5.55,3667
5.57,3728
5.59,3720
5.61,3738
5.63,3674
5.65,3659
5.67,3784
5.69,3676
5.71,3669
5.73,3660
5.75,3538
5.77,3536
5.79,3528
5.81,3593
5.83,3381
5.85,3338
5.87,3455
5.89,3301
5.91,3169
5.93,3071
5.95,3137
5.97,3120
5.99,3075
6.01,2981
6.03,2897
6.05,2963
6.07,2861
6.09,2806
6.11,2723
6.13,2766
6.15,2608
6.17,2611
6.19,2657
6.21,2630
6.23,2497
6.25,2465
6.27,2431
6.29,2340
6.31,2382
6.33,2348
6.35,2372
6.37,2300
6.39,2283
6.41,2243
6.43,2216
6.45,2311
6.47,2267
6.49,2290
6.51,2265
6.53,2258
6.55,2215
6.57,2239
6.59,2120
6.61,2083
6.63,2196
6.65,2207
6.67,2058
6.69,2233
6.71,2082
6.73,2102
6.75,2161
6.77,2107
6.79,2199
6.81,2110
6.83,2122
6.85,2054
6.87,2052
6.89,1999
6.91,2133
6.93,2152
6.95,2060
6.97,2091
6.99,2139
7.01,2042
7.03,2077
7.05,2139
7.07,2073
7.09,2056
7.11,2055
7.13,2026
7.15,2087
7.17,2034
7.19,2005
7.21,2127
7.23,2060
7.25,2015
7.27,2044
7.29,2114
7.31,2046
7.33,2041
7.35,2082
7.37,2049
7.39,1960
7.41,2072
7.43,2062
7.45,2029
7.47,1989
7.49,1970
7.51,2069
7.53,1988
7.55,1992
7.57,2027
7.59,2125
7.61,1999
7.63,2044
7.65,2028
7.67,2043
7.69,2022
7.71,2094
7.73,1958
7.75,2060
7.77,2033
7.79,2067
7.81,2048
7.83,2092
7.85,2020
7.87,2082
7.89,1964
7.91,2123
7.93,2045
7.95,2069
7.97,2116
7.99,2031
8.01,2069
8.03,2097
8.05,2037
8.07,2095
8.09,2135
8.11,2051
8.13,2122
8.15,2097
8.17,2143
8.19,2052
8.21,2041
8.23,2122
8.25,2111
8.27,2026
8.29,2106
8.31,2085
8.33,2100
8.35,2094
8.37,2086
8.39,2075
8.41,2142
8.43,2153
8.45,2152
8.47,2139
8.49,2137
8.51,2179
8.53,2079
