2q (degree),Normalized Intensity (a.u)
12.6904,0.15538
12.6954,0.15538
12.7004,0.15538
12.7054,0.15538
12.7104,0.15538
12.7154,0.15538
12.7204,0.15538
12.7254,0.15539
12.7304,0.15539
12.7354,0.1554
12.7404,0.15541
12.7454,0.15542
12.7504,0.15543
12.7554,0.15544
12.7604,0.15545
12.7654,0.15546
12.7704,0.15547
12.7754,0.15547
12.7804,0.15548
12.7854,0.15549
12.7904,0.1555
12.7954,0.15551
12.8004,0.15782
12.8054,0.15708
12.8104,0.15461
12.8154,0.15354
12.8204,0.1514
12.8254,0.1481
12.8304,0.16483
12.8354,0.15976
12.8404,0.16349
12.8454,0.17076
12.8504,0.1737
12.8554,0.17919
12.8604,0.1869
12.8654,0.1818
12.8704,0.18377
12.8754,0.17843
12.8804,0.18115
12.8854,0.18354
12.8904,0.18861
12.8954,0.18619
12.9004,0.18416
12.9054,0.17605
12.9104,0.16896
12.9154,0.16133
12.9204,0.16418
12.9254,0.16821
12.9304,0.17988
12.9354,0.17759
12.9404,0.17961
12.9454,0.17508
12.9504,0.17011
12.9554,0.16667
12.9604,0.16413
12.9654,0.1668
12.9704,0.17708
12.9754,0.16525
12.9804,0.16165
12.9854,0.16109
12.9904,0.1662
12.9954,0.16617
13.0004,0.17188
13.0054,0.17571
13.0104,0.17689
13.0154,0.18309
13.0204,0.18324
13.0254,0.17944
13.0304,0.1907
13.0354,0.1932
13.0404,0.19279
13.0454,0.19043
13.0504,0.19473
13.0554,0.18814
13.0604,0.1851
13.0654,0.18554
13.0704,0.18307
13.0754,0.17829
13.0804,0.17873
13.0854,0.1816
13.0904,0.1817
13.0954,0.18141
13.1004,0.18093
13.1054,0.17241
13.1104,0.17115
13.1154,0.17146
13.1204,0.17639
13.1254,0.17901
13.1304,0.18458
13.1354,0.18528
13.1404,0.18669
13.1454,0.1847
13.1504,0.18174
13.1554,0.17757
13.1604,0.17954
13.1654,0.18083
13.1704,0.18094
13.1754,0.16815
13.1804,0.16627
13.1854,0.16676
13.1904,0.16903
13.1954,0.16779
13.2004,0.16549
13.2054,0.16455
13.2104,0.16699
13.2154,0.16638
13.2204,0.17007
13.2254,0.17377
13.2304,0.17799
13.2354,0.17614
13.2404,0.17657
13.2454,0.17169
13.2504,0.1719
13.2554,0.17594
13.2604,0.17454
13.2654,0.17207
13.2704,0.17126
13.2754,0.16391
13.2804,0.16102
13.2854,0.16278
13.2904,0.16354
13.2954,0.16307
13.3004,0.15948
13.3054,0.15439
13.3104,0.15285
13.3154,0.15114
13.3204,0.15196
13.3254,0.15279
13.3304,0.15712
13.3354,0.1598
13.3404,0.16068
13.3454,0.16174
13.3504,0.1629
13.3554,0.1651
13.3604,0.16822
13.3654,0.16899
13.3704,0.17344
13.3754,0.16915
13.3804,0.16796
13.3854,0.16551
13.3904,0.16423
13.3954,0.16636
13.4004,0.16433
13.4054,0.15891
13.4104,0.16106
13.4154,0.15974
13.4204,0.15606
13.4254,0.15369
13.4304,0.15678
13.4354,0.15703
13.4404,0.15935
13.4454,0.15867
13.4504,0.15535
13.4554,0.15736
13.4604,0.15988
13.4654,0.16229
13.4704,0.16188
13.4754,0.16105
13.4804,0.16138
13.4854,0.16097
13.4904,0.1616
