XRD - Patata-40,
5.01,6744
5.03,6571
5.05,6789
5.07,6639
5.09,6685
5.11,6418
5.13,6230
5.15,6233
5.17,6045
5.19,5998
5.21,5826
5.23,5627
5.25,5342
5.27,5107
5.29,5032
5.31,4792
5.33,4675
5.35,4458
5.37,4483
5.39,4278
5.41,4232
5.43,4013
5.45,3835
5.47,3828
5.49,3781
5.51,3819
5.53,3575
5.55,3454
5.57,3510
5.59,3404
5.61,3358
5.63,3284
5.65,3224
5.67,3156
5.69,3133
5.71,3076
5.73,3147
5.75,3124
5.77,2976
5.79,2949
5.81,3011
5.83,2929
5.85,2977
5.87,2930
5.89,2846
5.91,2724
5.93,2838
5.95,2878
5.97,2826
5.99,2785
6.01,2782
6.03,2793
6.05,2820
6.07,2672
6.09,2705
6.11,2755
6.13,2648
6.15,2726
6.17,2691
6.19,2724
6.21,2614
6.23,2654
6.25,2655
6.27,2676
6.29,2668
6.31,2525
6.33,2527
6.35,2621
6.37,2525
6.39,2625
6.41,2685
6.43,2628
6.45,2588
6.47,2570
6.49,2587
6.51,2531
6.53,2619
6.55,2535
6.57,2591
6.59,2613
6.61,2560
6.63,2516
6.65,2609
6.67,2522
6.69,2535
6.71,2568
6.73,2603
6.75,2504
6.77,2625
6.79,2535
6.81,2665
6.83,2557
6.85,2605
6.87,2560
6.89,2520
6.91,2488
6.93,2641
6.95,2680
6.97,2503
6.99,2529
7.01,2557
7.03,2531
7.05,2575
7.07,2597
7.09,2636
7.11,2452
7.13,2533
7.15,2556
7.17,2592
7.19,2602
7.21,2563
7.23,2545
7.25,2617
7.27,2758
7.29,2601
7.31,2538
7.33,2548
7.35,2691
7.37,2577
7.39,2528
7.41,2608
7.43,2583
7.45,2702
7.47,2575
7.49,2602
7.51,2540
7.53,2600
7.55,2723
7.57,2734
7.59,2636
7.61,2580
7.63,2635
7.65,2659
7.67,2638
7.69,2657
7.71,2725
7.73,2646
7.75,2630
7.77,2545
7.79,2640
7.81,2635
7.83,2643
7.85,2681
7.87,2615
7.89,2633
7.91,2648
7.93,2612
7.95,2634
7.97,2645
7.99,2646
8.01,2594
8.03,2658
8.05,2600
8.07,2651
8.09,2726
8.11,2700
8.13,2642
8.15,2709
8.17,2661
8.19,2698
8.21,2664
8.23,2662
8.25,2754
8.27,2680
8.29,2768
8.31,2670
8.33,2719
8.35,2679
8.37,2677
8.39,2731
8.41,2643
8.43,2694
8.45,2752
8.47,2831
8.49,2759
8.51,2698
8.53,2698
8.55,2748
8.57,2791
8.59,2688
8.61,2752
8.63,2845
8.65,2754
8.67,2759
8.69,2889
8.71,2763
8.73,2856
8.75,2917
8.77,2777
8.79,2790
8.81,2834
8.83,2959
8.85,2856
8.87,2957
8.89,3033
8.91,2988
8.93,3125
8.95,2934
8.97,2949
8.99,3051
9.01,3087
9.03,3063
9.05,3098
9.07,3070
9.09,3025
9.11,3159
9.13,3100
9.15,3083
9.17,3224
9.19,3329
9.21,3336
9.23,3235
9.25,3218
9.27,3328
9.29,3342
9.31,3355
9.33,3262
9.35,3412
9.37,3224
9.39,3185
9.41,3278
9.43,3254
9.45,3364
9.47,3211
9.49,3349
9.51,3403
9.53,3295
9.55,3336
9.57,3264
9.59,3312
9.61,3267
9.63,3274
9.65,3241
9.67,3207
9.69,3281
9.71,3304
9.73,3289
9.75,3311
9.77,3219
9.79,3212
9.81,3260
9.83,3166
9.85,3242
9.87,3313
9.89,3138
9.91,3171
9.93,3094
9.95,3130
9.97,3193
9.99,3131
10.01,3228
10.03,3079
10.05,3169
10.07,3087
10.09,3004
10.11,3043
10.13,3160
10.15,3078
10.17,3015
10.19,3060
10.21,3093
10.23,3043
10.25,3088
10.27,3077
10.29,3054
10.31,2953
10.33,3068
10.35,2965
10.37,3007
10.39,3118
10.41,3038
10.43,3172
10.45,3113
10.47,3036
10.49,3065
10.51,3163
10.53,3116
10.55,3087
10.57,3118
10.59,3097
10.61,3091
10.63,3144
10.65,3158
10.67,3173
10.69,3089
10.71,3156
10.73,3067
10.75,3126
10.77,3186
10.79,3067
10.81,3093
10.83,3076
10.85,3119
10.87,3206
10.89,3120
10.91,3056
10.93,3117
10.95,3145
10.97,3113
10.99,3065
11.01,3045
11.03,2992
11.05,3122
11.07,2990
11.09,3050
11.11,2933
11.13,3049
11.15,3017
11.17,2954
11.19,2873
11.21,2923
11.23,3023
11.25,3040
11.27,2968
11.29,2860
11.31,2877
11.33,2839
11.35,2951
11.37,2834
11.39,2826
11.41,2932
11.43,2916
11.45,2930
11.47,2856
11.49,2856
11.51,2843
11.53,2843
11.55,2843
11.57,2791
11.59,2804
11.61,2799
11.63,2804
11.65,2772
11.67,2855
11.69,2918
11.71,2808
11.73,2766
11.75,2804
11.77,2712
11.79,2801
11.81,2837
11.83,2854
11.85,2878
11.87,2816
11.89,2803
11.91,2772
11.93,2711
11.95,2897
11.97,2842
11.99,2817
12.01,2897
12.03,2815
12.05,2931
12.07,2838
12.09,2883
12.11,2819
12.13,2926
12.15,2900
12.17,2988
12.19,2984
12.21,2865
12.23,2826
12.25,2940
12.27,2954
12.29,2961
12.31,2956
12.33,2937
12.35,2946
12.37,2883
12.39,2933
12.41,3058
12.43,2900
12.45,3017
12.47,3052
12.49,2989
12.51,3051
12.53,3047
12.55,3038
12.57,3073
12.59,3113
12.61,3051
12.63,2979
12.65,3051
12.67,3037
12.69,3182
12.71,3075
12.73,3148
12.75,3205
12.77,3162
12.79,3287
12.81,3268
12.83,3290
12.85,3374
12.87,3237
12.89,3331
12.91,3291
12.93,3477
12.95,3361
12.97,3496
12.99,3442
13.01,3484
13.03,3532
13.05,3505
13.07,3602
13.09,3628
13.11,3681
13.13,3727
13.15,3729
13.17,3825
13.19,3824
13.21,3790
13.23,3870
13.25,3958
13.27,4110
13.29,4079
13.31,4051
13.33,4134
13.35,4003
13.37,4192
13.39,4106
13.41,4111
13.43,4343
13.45,4376
13.47,4270
13.49,4278
13.51,4387
13.53,4285
13.55,4381
13.57,4533
13.59,4531
13.61,4365
13.63,4446
13.65,4492
13.67,4408
13.69,4604
13.71,4581
13.73,4475
13.75,4428
13.77,4492
13.79,4514
13.81,4494
13.83,4535
13.85,4451
13.87,4420
13.89,4460
13.91,4519
13.93,4422
13.95,4349
13.97,4398
13.99,4464
14.01,4431
14.03,4369
14.05,4395
14.07,4494
14.09,4453
14.11,4414
14.13,4345
14.15,4385
14.17,4474
14.19,4464
14.21,4413
14.23,4376
14.25,4439
14.27,4454
14.29,4627
14.31,4455
14.33,4625
14.35,4509
14.37,4597
14.39,4636
14.41,4611
14.43,4662
14.45,4770
14.47,4626
14.49,4580
14.51,4867
14.53,4656
14.55,4665
14.57,4734
14.59,4559
14.61,4697
14.63,4542
14.65,4619
14.67,4516
14.69,4530
14.71,4387
14.73,4413
14.75,4416
14.77,4475
14.79,4323
14.81,4258
14.83,4295
14.85,4270
14.87,4222
14.89,4124
14.91,4149
14.93,4050
14.95,4008
14.97,3961
14.99,3916
15.01,4015
15.03,3883
15.05,3859
15.07,3912
15.09,3906
15.11,3854
15.13,3741
15.15,3629
15.17,3738
15.19,3637
15.21,3666
15.23,3623
15.25,3674
15.27,3652
15.29,3639
15.31,3801
15.33,3698
15.35,3725
15.37,3639
15.39,3691
15.41,3740
15.43,3828
15.45,3707
15.47,3798
15.49,3759
15.51,3834
15.53,3874
15.55,3836
15.57,3936
15.59,4004
15.61,4114
15.63,3936
15.65,3962
15.67,3963
15.69,4179
15.71,4036
15.73,4095
15.75,4272
15.77,4186
15.79,4296
15.81,4431
15.83,4381
15.85,4547
15.87,4528
15.89,4695
15.91,4766
15.93,4726
15.95,4878
15.97,4880
15.99,5024
16.01,5003
16.03,5205
16.05,5316
16.07,5396
16.09,5379
16.11,5620
16.13,5569
16.15,5778
16.17,5825
16.19,5740
16.21,5999
16.23,6243
16.25,6117
16.27,6186
16.29,6355
16.31,6500
16.33,6632
16.35,6720
16.37,6832
16.39,7048
16.41,7003
16.43,7381
16.45,7405
16.47,7269
16.49,7560
16.51,7326
16.53,7385
